option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting,unnamed: 4
IZ (IZ2),"43, 53, 86",186,164,142,117,92,67,2023,on,260,
IZ (IZ4),"43, 53, 96",184,161,138,114,90,67,2023,on,260,
IZ (IZ5),"43, 53, 99",184,161,138,114,90,66,2023,on,260,
IZ (IZ6),"13, 23, 36",–,82,66,56,47,38,2023,on,130,
KT (KT1),"12, 22, 34, 42, 52",187,164,141,115,89,63,2023,on,260,
KT (KT2),"42, 52, 84",184,163,142,116,90,65,2023,on,260,
KT (KT3),"42, 52, 87",184,163,142,116,90,64,2023,on,260,
KT (KT4),"42, 52, 95",178,156,134,109,84,59,2023,on,260,
KT (KT5),"42, 52, 98",177,155,133,108,83,58,2023,on,260,
KT (KT6),"12, 22, 34",–,83,68,56,44,32,2023,on,130,
KU (KU1),"13, 23, 36, 43, 53",190,166,142,118,95,72,2023,on,260,
KU (KU2),"43, 53, 85",192,164,136,111,86,62,2023,on,260,
KU (KU3),"43, 53, 88",192,164,136,111,86,62,2023,on,260,
KU (KU4),"43, 53, 96",184,161,138,114,90,67,2023,on,260,
KU (KU5),"43, 53, 99",184,161,138,114,90,66,2023,on,260,
KU (KU6),"13, 23, 36",–,82,66,56,47,38,2023,on,130,
P1,50,–,55,45,39,33,28,2023,on,75,
S1,"11, 21, 31",–,83,67,57,47,38,2023,on,130,
S3,"12, 22, 33",–,85,69,57,45,34,2023,on,130,
S4,"12, 22, 34",–,83,68,56,44,32,2023,on,130,
S5,"13, 23, 35",–,83,67,57,47,38,2023,on,130,
S6,"13, 23, 36",–,82,66,56,47,38,2023,on,130,
BT2,"42, 52, 87",199,175,151,122,93,65,2024,on,260,
BU1,"43, 53, 85",207,177,147,119,92,65,2024,on,260,
BU2,"43, 53, 88",204,175,146,118,91,64,2024,on,260,
BX1,"41, 51, 84",199,176,153,124,95,67,2024,on,260,
BX2,"41, 51, 87",201,177,153,124,95,67,2024,on,260,
BY1,"42, 52, 85",205,175,145,117,90,63,2024,on,260,
BY2,"42, 52, 88",202,173,144,116,89,62,2024,on,260,
BZ1,"43, 53, 86",208,179,150,122,94,67,2024,on,260,
CY1,"42, 52, 95",204,176,148,121,94,67,2024,on,260,
CY2,"42, 52, 98",201,174,147,119,92,65,2024,on,260,
CZ1,"43, 53, 96",204,176,148,123,98,73,2024,on,260,
CZ2,"43, 53, 99",203,175,147,122,97,73,2024,on,260,
EV,"42, 52, 75",207,183,159,131,104,77,2024,on,260,
HY,"12, 22, 34, 42, 52",200,176,152,125,99,73,2024,on,260,
HZ,"13, 23, 36, 43, 53",209,181,153,127,101,76,2024,on,260,
S1,"11, 21, 31",–,86,71,61,51,41,2024,on,130,
S3,"12, 22, 33",–,82,70,59,48,37,2024,on,130,
S4,"12, 22, 34",–,85,73,62,51,40,2024,on,130,
S5,"13, 23, 35",–,86,71,61,51,41,2024,on,130,
S6,"13, 23, 36",–,88,72,61,51,41,2024,on,130,
S1,"11, 21, 31",–,89,74,63,53,43,2025,on,130,
S3,"12, 22, 33",–,88,76,64,53,42,2025,on,130,
S4,"12, 22, 34",–,88,77,65,53,41,2025,on,130,
S5,"13, 23, 35",–,89,74,63,53,43,2025,on,130,
S6,"13, 23, 36",–,87,71,61,51,42,2025,on,130,
S7,"14, 24, 37",–,89,72,61,51,41,2025,on,130,
S8,"14, 24, 38",–,87,69,59,49,40,2025,on,130,
