id,pdf_links,subject_code,month,month_id,year
9484_mj_2024,https://www.cambridgeinternational.org/Images/715986-biblical-studies-9484-june-2024-grade-threshold-table.pdf,9484,june,mj,2024
9700_mj_2024,https://www.cambridgeinternational.org/Images/715949-biology-9700-june-2024-grade-threshold-table.pdf,9700,june,mj,2024
9609_mj_2024,https://www.cambridgeinternational.org/Images/715950-business-9609-june-2024-grade-threshold-table.pdf,9609,june,mj,2024
9980_mj_2024,https://www.cambridgeinternational.org/Images/715951-cambridge-international-project-9980-june-2024-grade-threshold-table.pdf,9980,june,mj,2024
9701_mj_2024,https://www.cambridgeinternational.org/Images/715952-chemistry-9701-june-2024-grade-threshold-table.pdf,9701,june,mj,2024
9868_mj_2024,https://www.cambridgeinternational.org/Images/716047-chinese-language-and-literature-a-level-9868-june-2024-grade-threshold-table.pdf,9868,june,mj,2024
8238_mj_2024,https://www.cambridgeinternational.org/Images/715970-chinese-language-as-level-8238-june-2024-grade-threshold-table.pdf,8238,june,mj,2024
9618_mj_2024,https://www.cambridgeinternational.org/Images/716004-computer-science-9618-june-2024-grade-threshold-table.pdf,9618,june,mj,2024
9705_mj_2024,https://www.cambridgeinternational.org/Images/716035-design-and-technology-9705-june-2024-grade-threshold-table.pdf,9705,june,mj,2024
9481_mj_2024,https://www.cambridgeinternational.org/Images/715983-digital-media-design-9481-june-2024-grade-threshold-table.pdf,9481,june,mj,2024
9482_mj_2024,https://www.cambridgeinternational.org/Images/715984-drama-9482-june-2024-grade-threshold-table.pdf,9482,june,mj,2024
9708_mj_2024,https://www.cambridgeinternational.org/Images/715953-economics-9708-june-2024-grade-threshold-table.pdf,9708,june,mj,2024
8021_mj_2024,https://www.cambridgeinternational.org/Images/715954-english-general-paper-as-level-8021-june-2024-grade-threshold-table.pdf,8021,june,mj,2024
9093_mj_2024,https://www.cambridgeinternational.org/Images/715955-english-language-9093-june-2024-grade-threshold-table.pdf,9093,june,mj,2024
8291_mj_2024,https://www.cambridgeinternational.org/Images/715971-environmental-management-as-level-8291-june-2024-grade-threshold-table.pdf,8291,june,mj,2024
9716_mj_2024,https://www.cambridgeinternational.org/Images/716042-french-a-level-9716-june-2024-grade-threshold-table.pdf,9716,june,mj,2024
8682_mj_2024,https://www.cambridgeinternational.org/Images/715974-french-language-as-level-8682-june-2024-grade-threshold-table.pdf,8682,june,mj,2024
9231_mj_2024,https://www.cambridgeinternational.org/Images/715981-further-mathematics-a-level-9231-june-2024-grade-threshold-table.pdf,9231,june,mj,2024
9696_mj_2024,https://www.cambridgeinternational.org/Images/716030-geography-9696-june-2024-grade-threshold-table.pdf,9696,june,mj,2024
9717_mj_2024,https://www.cambridgeinternational.org/Images/716044-german-a-level-9717-june-2024-grade-threshold-table.pdf,9717,june,mj,2024
8683_mj_2024,https://www.cambridgeinternational.org/Images/715975-german-language-as-level-8683-june-2024-grade-threshold-table.pdf,8683,june,mj,2024
9239_mj_2024,https://www.cambridgeinternational.org/Images/715957-global-perspectives-research-9239-june-2024-grade-threshold-table.pdf,9239,june,mj,2024
9487_mj_2024,https://www.cambridgeinternational.org/Images/715987-hinduism-9487-june-2024-grade-threshold-table.pdf,9487,june,mj,2024
9489_mj_2024,https://www.cambridgeinternational.org/Images/715997-history-9489-june-2024-grade-threshold-table.pdf,9489,june,mj,2024
9626_mj_2024,https://www.cambridgeinternational.org/Images/715959-information-technology-9626-june-2024-grade-threshold-table.pdf,9626,june,mj,2024
9488_mj_2024,https://www.cambridgeinternational.org/Images/715996-islamic-studies-9488-june-2024-grade-threshold-table.pdf,9488,june,mj,2024
8695_mj_2024,https://www.cambridgeinternational.org/Images/715979-language-and-literature-in-english-as-level-8695-june-2024-grade-threshold-table.pdf,8695,june,mj,2024
9084_mj_2024,https://www.cambridgeinternational.org/Images/715980-law-9084-june-2024-grade-threshold-table.pdf,9084,june,mj,2024
9695_mj_2024,https://www.cambridgeinternational.org/Images/716028-literature-in-english-9695-june-2024-grade-threshold-table.pdf,9695,june,mj,2024
9693_mj_2024,https://www.cambridgeinternational.org/Images/716023-marine-science-9693-june-2024-grade-threshold-table.pdf,9693,june,mj,2024
9709_mj_2024,https://www.cambridgeinternational.org/Images/715960-mathematics-9709-june-2024-grade-threshold-table.pdf,9709,june,mj,2024
9607_mj_2024,https://www.cambridgeinternational.org/Images/715999-media-studies-9607-june-2024-grade-threshold-table.pdf,9607,june,mj,2024
